color_palette,r,g,b,hex,idx,color_ramp,color_ramp_idx
apollo,23,32,56,#172038,0,blue,1
apollo,37,58,94,#253a5e,1,blue,2
apollo,60,94,139,#3c5e8b,2,blue,3
apollo,79,143,186,#4f8fba,3,blue,4
apollo,115,190,211,#73bed3,4,blue,5
apollo,164,221,219,#a4dddb,5,blue,6
apollo,25,51,45,#19332d,6,green,1
apollo,37,86,46,#25562e,7,green,2
apollo,70,130,50,#468232,8,green,3
apollo,117,167,67,#75a743,9,green,4
apollo,168,202,88,#a8ca58,10,green,5
apollo,208,218,145,#d0da91,11,green,6
apollo,77,43,50,#4d2b32,12,skin,1
apollo,122,72,65,#7a4841,13,skin,2
apollo,173,119,87,#ad7757,14,skin,3
apollo,192,148,115,#c09473,15,skin,4
apollo,215,181,148,#d7b594,16,skin,5
apollo,231,213,179,#e7d5b3,17,skin,6
apollo,52,28,39,#341c27,18,brown,1
apollo,96,44,44,#602c2c,19,brown,2
apollo,136,75,43,#884b2b,20,brown,3
apollo,190,119,43,#be772b,21,brown,4
apollo,222,158,65,#de9e41,22,brown,5
apollo,232,193,112,#e8c170,23,brown,6
apollo,36,21,39,#241527,24,red,1
apollo,65,29,49,#411d31,25,red,2
apollo,117,36,56,#752438,26,red,3
apollo,165,48,48,#a53030,27,red,4
apollo,207,87,60,#cf573c,28,red,5
apollo,218,134,62,#da863e,29,red,6
apollo,30,29,57,#1e1d39,30,purple,1
apollo,64,39,81,#402751,31,purple,2
apollo,122,54,123,#7a367b,32,purple,3
apollo,162,62,140,#a23e8c,33,purple,4
apollo,198,81,151,#c65197,34,purple,5
apollo,223,132,165,#df84a5,35,purple,6
apollo,9,10,20,#090a14,36,gray_scale,1
apollo,16,20,31,#10141f,37,gray_scale,2
apollo,21,29,40,#151d28,38,gray_scale,3
apollo,32,46,55,#202e37,39,gray_scale,4
apollo,57,74,80,#394a50,40,gray_scale,5
apollo,87,114,119,#577277,41,gray_scale,6
apollo,129,151,150,#819796,42,gray_scale,7
apollo,168,181,178,#a8b5b2,43,gray_scale,8
apollo,199,207,204,#c7cfcc,44,gray_scale,9
apollo,235,237,233,#ebede9,45,gray_scale,10
